age,education_level,experience_years,department,job_level,manager_tenure,projects_completed,story_points_completed,billable_hours_ratio,avg_task_delay_days,on_time_delivery_rate,bug_count,code_review_score,defect_density,training_hours,certifications_count,sick_days,unplanned_leaves,peer_feedback_score,manager_score,kudos_count,promotions_last_2_years,salary_percentile,performance_score,performance_band
50,Master,26,Operations,3,5,11,90,0.3882770991750375,3.2661363995250197,0.8514455399272056,33,3.4372148758260295,1.640307314593894,19,6,5,5,3.629572157978653,2.216818072540015,5,2,47.9925689004394,0.4751202366976006,Low
36,Bachelor,13,Finance,5,5,12,57,0.39089990939251673,7.195307176305516,0.8519877591275542,24,2.869429153326447,9.555177064172408,81,1,11,1,1.062589271768264,3.617573459322299,10,1,60.470979388739195,0.4069446044729633,Low
29,Bachelor,7,Sales,1,2,9,133,0.7733370224495775,3.526224101298279,0.8297952060856169,3,3.5059425598830294,6.677772264457613,49,5,9,0,1.2574995340601585,2.9500091144811194,2,0,47.94462287370058,0.4843012145286552,Low
42,Bachelor,20,Finance,2,2,12,139,0.9010200748877486,5.052486892362979,0.8016312542019215,25,4.180866346121531,0.5933823080638989,78,6,5,4,1.3986446109249946,2.465212581049356,15,1,93.43756796404207,0.48618471248789025,Low
40,Bachelor,18,HR,3,12,3,93,0.9739128087027973,0.969526693576126,0.6861951492269049,15,4.876150505210213,6.575683057846124,51,4,11,7,2.6759747412409243,3.581767332733986,4,0,24.0548848214587,0.5985812335519175,Medium
44,Master,20,HR,2,1,8,29,0.7398429822846111,4.515888842297968,0.785366898104269,9,2.8691494327284803,8.83119406674775,85,8,8,9,4.259184690639904,4.790091922204952,1,1,27.402469403848585,0.6289964997539548,Medium
32,PhD,9,Sales,2,15,11,196,0.4288709263526699,10.590243919924026,0.4230169328727848,44,3.2946128119550284,5.7704186199002505,21,3,8,9,4.552711641513531,1.1650789894984874,14,1,92.07379356930562,0.2971913224104806,Low
32,Master,9,IT,4,5,9,55,0.3739552418142515,7.7207815780034075,0.7728786535940708,1,2.779221980235127,3.540196380320112,52,9,1,1,1.979242960243603,4.675411423532417,15,0,7.673951374525623,0.521440309561827,Medium
45,Bachelor,24,Operations,4,7,8,140,0.8689956800757304,5.627812747190045,0.8667266233221262,34,3.673954483933616,8.20909634070616,84,0,3,9,3.297478896956056,3.436326620084054,6,1,60.956082190480984,0.5541940439968807,Medium
57,Master,35,Finance,3,7,4,192,0.7051295334519995,14.421946834856506,0.7002150162306342,18,3.519682016245038,7.8251200820582945,65,7,8,8,4.0734599707704024,4.229257203076209,15,2,68.17359520656107,0.5794242660671203,Medium
45,PhD,22,HR,5,5,12,21,0.7327995147096038,17.657219370652992,0.6145079970563422,5,1.0713351607744932,5.441821542313008,42,7,14,7,2.1553177196784348,2.5354998137371103,3,1,50.55417234297395,0.3751714971500052,Low
24,PhD,1,IT,3,13,1,49,0.8470234621282964,14.649362903852733,0.5664560408805874,18,3.1646462364026338,1.5436176989590034,81,6,13,2,2.636030946945093,2.887371899350455,15,2,69.42318788231373,0.4746016691858104,Low
43,Master,20,Sales,5,2,4,75,0.7922940594127161,5.3040154465889415,0.7856812300972495,7,1.353947582796056,2.5098648552318137,22,7,12,0,3.0958968107428557,4.4754030072046564,16,2,17.2754646011967,0.46172749978769106,Low
23,Master,0,HR,2,9,14,109,0.8841207769992676,14.37772769242618,0.8156807191779453,13,1.1055344720221534,7.3848397218610575,76,1,3,3,1.5394993856321908,2.6593918792392923,1,1,85.26322327715398,0.405419854845881,Low
45,Master,22,Sales,1,2,9,87,0.3393497338219149,1.3435640144291265,0.9225805599175255,9,4.164788648338793,8.060821653949276,63,2,7,7,1.1039291749031213,3.13863826699634,15,2,14.002568946988559,0.5158512816102339,Medium
51,Bachelor,30,Finance,3,11,2,25,0.8232644457225533,0.8669957380084004,0.6054004494765944,2,2.034599448637202,2.792652780409898,8,8,9,2,1.611223237273133,1.0807796923373316,3,2,40.08124443157497,0.367122966663893,Low
59,Master,35,Operations,3,16,3,92,0.8955969301254667,5.603794814795497,0.8618633844313514,37,2.362620309149197,3.6798507718678666,6,0,11,9,3.5074144850141336,1.6343920233521692,6,1,7.52576013082058,0.4100597425559945,Low
23,Master,0,HR,5,4,10,171,0.50029452972082,15.769452118969255,0.7368134945136028,28,1.2563383504162648,0.7763188524979514,40,7,2,1,1.2944730461347267,3.566746031899199,17,0,54.521107881740015,0.38820357718148685,Low
42,Master,21,HR,2,19,8,53,0.7483130917952769,3.419661439330641,0.9297018944068475,14,1.7180010419774026,7.134619483664998,53,7,2,6,1.7587854594005132,3.8679076042555085,5,0,66.97458074256392,0.5471672410964443,Medium
54,PhD,30,Finance,2,8,6,143,0.5199134446858804,-0.6084250042290491,0.7166872649773725,22,4.0624192730311695,0.03577544600031346,64,6,8,3,2.351415542781215,3.3304037471379977,17,2,94.12216350952906,0.5031926689726464,Medium
33,PhD,10,IT,5,19,8,109,0.9705797465377177,0.8976097745398119,0.7105778970387804,22,2.9741233209304836,0.4654152121906807,1,4,10,5,1.3114802572254654,1.5732401451024427,6,2,73.93361958960008,0.39830995391942886,Low
43,Bachelor,20,Operations,2,6,7,31,0.3233965007048526,16.892389307650763,0.7467262488645454,17,4.522673850200594,0.04344067784089911,3,3,9,4,1.7667970846465377,2.7816217143113393,1,0,54.11029164541511,0.36744758130951716,Low
46,Bachelor,23,HR,4,3,14,27,0.7058549906830685,11.943232264440327,0.8495892130854606,45,2.5889685258673407,6.453195833376167,77,9,7,1,4.645079155934044,2.4203790654527593,18,2,93.26170171703338,0.45908663178015796,Low
48,PhD,24,Operations,1,12,13,21,0.4165524829346605,3.5704255941394862,0.9788142872970765,18,2.074802943017073,4.173871277005466,31,9,0,9,1.077196528907939,2.9826453761403533,8,0,47.843683804087654,0.4260496862755023,Low
49,PhD,28,HR,3,12,13,189,0.798554143624011,10.21650815721999,0.4441380125294594,27,2.390399257834604,2.9754676134333025,99,9,9,1,3.6137276966974485,4.481316138216377,3,1,56.12056530988694,0.46866422561927484,Low
37,PhD,16,Operations,1,9,5,132,0.42312319839306345,9.606751693357708,0.4320607614346103,25,3.851087174067618,9.127010103571104,1,9,13,8,2.5376357236607396,4.103445754634608,13,2,59.60985276700958,0.37327404612758036,Low
36,Master,14,Sales,3,17,9,126,0.4647682833288503,12.419591525694548,0.9625302024444031,9,3.220022689337944,1.9280279467660666,63,5,1,9,3.6905949577294845,1.3359580055566358,4,1,40.99797258865669,0.48449943173507365,Low
24,Master,1,HR,4,16,4,60,0.6460595677320307,3.130126197275559,0.7179253753109236,46,4.6167648302097115,3.8936801038140056,13,0,2,1,3.3547668814536182,4.561236791098257,6,0,83.84826905658241,0.5093491920885934,Medium
58,PhD,35,Operations,2,19,6,80,0.9403844649978146,17.016865718276748,0.7689418087401616,3,3.4086750775555332,9.403118009277517,19,4,13,7,1.8939950174185771,2.8870686045992944,7,0,18.517593884505914,0.44637791338710087,Low
28,Master,6,IT,5,19,2,57,0.4482000605035796,4.8061083657602826,0.6894541609568373,1,2.9720728339260125,4.271065628370424,88,3,10,7,4.388837950293555,3.9754485795439938,14,1,55.4842190371608,0.6081433226578481,Medium
42,Master,21,Sales,4,12,2,28,0.40096801478267247,13.270896387477212,0.4561944715644847,2,4.143010895546931,5.546936856470578,48,3,1,0,2.9677615304374267,1.5601569250574086,18,2,72.2233256187194,0.3604945476316996,Low
30,Bachelor,6,Sales,1,16,2,15,0.8312837822978214,-1.6452577798112724,0.8608536270511999,6,4.790135402933781,0.8033686656948757,7,6,2,0,4.2901440756538864,3.6828781028281923,10,1,90.39761718765772,0.5935024245514121,Medium
39,PhD,15,IT,5,3,10,93,0.6504336726337516,6.198456857671239,0.8483347870531521,15,2.4233836449798822,7.901663868934623,91,8,7,3,2.624050144752877,1.9453040704378317,19,1,88.39183964342784,0.5056553625306329,Medium
25,PhD,4,Operations,2,0,7,164,0.93824957866724,5.737615995093782,0.5870219928956872,30,1.9995048406619107,4.227587770882382,62,7,10,1,4.938742215660956,2.753523588563726,3,2,50.874028943014196,0.49250215057785574,Low
46,Master,22,Finance,4,0,13,62,0.4026301900118896,9.956657428826318,0.5837435471370402,9,3.4648695851765567,8.005151245984834,45,7,10,0,4.081957434005185,1.0674514803284176,17,0,64.31614511633417,0.36616209058201227,Low
35,PhD,13,IT,5,14,2,116,0.7521495251161274,-0.39980224090167704,0.9027048285433111,18,2.995491284615524,2.537976425559921,20,4,11,8,4.863800820450294,1.606442551721904,13,1,39.423773612930106,0.4681960418263796,Low
30,Bachelor,7,Operations,4,12,12,110,0.4630154023062705,15.382890221974382,0.443414354644796,27,4.956742299459133,4.224787505614101,86,5,13,2,3.0573059156394353,1.368321972494479,5,1,46.81777628802003,0.39999359872617907,Low
47,Bachelor,26,IT,4,16,13,57,0.40973230005614747,2.7911776388865075,0.9286630890139395,16,2.8494471365909333,7.865489363650103,31,1,5,0,2.894764529162802,1.9589766917530338,15,0,90.62657925730495,0.4089763427430797,Low
23,Bachelor,0,IT,2,7,2,144,0.7784005906100893,12.894831927404224,0.5539970139375486,27,1.2973262054413834,9.738777670436397,7,2,14,1,4.021815237301031,1.400072360097289,17,1,93.0703993192474,0.30202275167702114,Low
41,PhD,17,HR,3,17,9,196,0.7155792339361132,15.67066671137005,0.7557908486532964,18,4.909476243110543,0.5962552438726887,94,4,13,7,4.521165052053721,3.7676401064782477,0,0,89.54140580670197,0.6133922774787153,Medium
49,PhD,26,Operations,5,12,7,78,0.8283792208536318,10.361293037313288,0.9615965074010666,36,4.37434778237416,8.124561774189043,15,1,6,4,4.856583183462233,1.1161596088368775,7,2,13.837086181363823,0.42513678693825907,Low
28,PhD,4,Finance,2,13,11,20,0.5166238035123276,14.29943054788368,0.8068735009219878,22,1.7130005758318534,3.0068906762711025,39,2,9,6,2.298207624129999,3.470962002499992,0,0,85.00840213306363,0.42321807192998556,Low
29,PhD,5,HR,4,7,3,152,0.613580159467533,12.560926868730121,0.648657887480222,19,4.618421012451478,5.507432808910721,26,3,14,5,4.194818295370556,1.562831323302297,0,0,94.83637310214803,0.4113117797993327,Low
56,PhD,34,IT,2,7,3,140,0.583830173431293,5.821655537344167,0.8137205253432491,12,2.3626672832869784,2.9009226495074794,17,5,14,0,1.8425823905421468,4.780645828711588,18,1,36.124969457360464,0.49883713563566107,Low
35,Bachelor,11,IT,3,14,7,131,0.98886262477656,15.794887858738438,0.6063877817898221,12,2.508447938137778,6.134454725679902,34,4,12,5,3.182297386981781,4.732376292439417,9,0,51.864628942166924,0.5195388517562667,Medium
38,Master,16,IT,5,12,5,78,0.5045742697175715,4.483430137481616,0.5663550498095117,42,4.625565929448637,3.5380283064397555,51,9,9,6,1.7193925936367966,1.9020124100838505,17,0,77.90952558129959,0.44105083367427617,Low
57,Bachelor,35,Operations,3,6,10,32,0.5063720668427367,10.566684190533378,0.9980099667608078,10,3.1204622601412613,3.336148909776815,14,3,5,3,2.3895894470013554,3.457685192892118,11,1,56.207813756564875,0.4778094487435405,Low
25,PhD,3,Operations,1,4,14,190,0.5481837461800252,14.398750261113868,0.8504741387078727,47,1.5510517175940786,0.37938312935935525,62,1,0,7,4.7254334688258375,1.1120212778898337,16,0,99.34835217062495,0.34790073749426975,Low
23,Bachelor,2,HR,5,16,14,46,0.695215856903225,6.3370300158751665,0.7868319864290906,14,2.476224637367216,1.4696040590381154,52,4,10,7,1.5843627990923443,4.727154172204696,0,1,45.57133651568284,0.48632165755341034,Low
27,PhD,6,Finance,3,15,6,18,0.47662592098462164,4.660887367583351,0.6131737859315913,16,3.888389785071523,9.170781988654788,90,4,2,6,3.529603580540786,3.0919492327668388,7,2,71.39427112073776,0.5344653023529953,Medium
25,PhD,1,HR,4,1,13,24,0.9407029582654918,8.1056122238021,0.42949649749302893,49,1.6967367522720669,9.982774288732463,80,6,12,1,3.3718170917096133,1.172892605671116,9,0,79.25911401965442,0.3215691359247694,Low
50,Bachelor,28,Sales,5,17,12,140,0.4859798954063844,15.99519687568138,0.41863412562109337,27,3.360924789625435,7.805205758696064,65,0,0,5,1.482953410835946,2.3699999720325495,9,2,49.41004157584394,0.2986888700145544,Low
39,PhD,18,IT,5,16,8,102,0.9270710120921362,18.458278789204623,0.7325087532692793,18,3.7810965317776675,2.868126247734868,30,3,11,5,2.3039161750752486,1.3073978474449368,17,0,85.69838057113758,0.43634306267985157,Low
47,Master,25,IT,2,6,9,26,0.3724325445526092,9.991835082917584,0.8572196326234307,3,2.3754143021703173,4.024451384435926,60,4,14,6,3.251926018061063,2.5717777574934395,8,0,54.61545912071964,0.426178759773656,Low
55,PhD,32,IT,4,12,1,163,0.7595938916797565,12.552256517120341,0.722427514266313,21,3.7755227548332893,7.395034549060827,63,7,9,5,1.748714435953961,3.6797053686452923,1,2,41.16507968016314,0.5418916259350609,Medium
31,Master,8,HR,1,17,3,158,0.9348898629067706,17.872019689256113,0.9044710431634687,21,4.536829407317274,9.685135568831981,97,7,11,1,4.202494625651262,2.8795596321657584,2,2,10.782367385194702,0.6614516931806025,Medium
